prototype,horizon,period,event_count,mean_fwd_ret,plus_1atr_first_rate,minus_1atr_first_rate
P2_STRONG_BREAKOUT,32,2024-03,39,-0.0016694741679768432,0.8974358974358975,0.05128205128205128
P2_STRONG_BREAKOUT,32,2024-04,22,0.008931973688452772,0.9545454545454546,0.045454545454545456
P2_STRONG_BREAKOUT,32,2024-05,36,0.012403836869778424,1.0,0.0
P2_STRONG_BREAKOUT,32,2024-06,16,0.0023915476203635253,0.9375,0.0625
P2_STRONG_BREAKOUT,32,2024-07,28,0.002128262296089573,0.9642857142857143,0.0
P2_STRONG_BREAKOUT,32,2024-08,14,0.006647098819219607,1.0,0.0
P2_STRONG_BREAKOUT,32,2024-09,14,0.008743992897910113,0.9285714285714286,0.07142857142857142
P2_STRONG_BREAKOUT,32,2024-10,32,0.005132724228717633,0.9375,0.0625
P2_STRONG_BREAKOUT,32,2024-11,48,0.015075201394647743,0.9583333333333334,0.041666666666666664
P2_STRONG_BREAKOUT,32,2024-12,30,0.007438793810301595,1.0,0.0
P2_STRONG_BREAKOUT,32,2025-01,37,0.00808531306273749,0.972972972972973,0.0
P2_STRONG_BREAKOUT,32,2025-02,10,-0.013665416626563353,1.0,0.0
P2_STRONG_BREAKOUT,32,2025-03,9,0.021141792038963922,1.0,0.0
P2_STRONG_BREAKOUT,32,2025-04,19,0.008071805583756905,1.0,0.0
P2_STRONG_BREAKOUT,32,2025-05,36,0.015585257370392673,0.9444444444444444,0.027777777777777776
P2_STRONG_BREAKOUT,32,2025-06,33,0.006232295062217402,0.9090909090909091,0.09090909090909091
P2_STRONG_BREAKOUT,32,2025-07,41,0.015678286863959043,0.926829268292683,0.07317073170731707
P2_STRONG_BREAKOUT,32,2025-08,34,0.01650030851837043,0.8823529411764706,0.08823529411764706
P2_STRONG_BREAKOUT,32,2025-09,20,0.005957722288802975,0.8,0.1
P2_STRONG_BREAKOUT,32,2025-10,27,0.002623673024422782,0.9259259259259259,0.037037037037037035
P2_STRONG_BREAKOUT,32,2025-11,16,0.006789412687844824,0.875,0.0625
P2_STRONG_BREAKOUT,32,2025-12,17,0.00559323461007771,0.8823529411764706,0.11764705882352941
P2_STRONG_BREAKOUT,32,2026-01,26,0.004056919618660244,0.8846153846153846,0.11538461538461539
P2_STRONG_BREAKOUT,32,2026-02,9,0.01857736309238056,1.0,0.0
P2_STRONG_BREAKOUT,32,2026-03,22,0.012757543382803922,0.9545454545454546,0.045454545454545456
P2_STRONG_BREAKOUT,32,2026-04,22,0.014141462823746538,0.9545454545454546,0.045454545454545456
P2_STRONG_BREAKOUT,32,2026-05,14,-0.0018138011522013664,0.9285714285714286,0.0
P2_STRONG_BREAKOUT,32,2026-06,15,0.005417840775238273,0.9333333333333333,0.06666666666666667
P3_MOMENTUM_TOP20,1,2024-01,13,0.006971417105577053,0.6153846153846154,0.07692307692307693
P3_MOMENTUM_TOP20,1,2024-02,9,0.007591884383758216,0.6666666666666666,0.0
P3_MOMENTUM_TOP20,1,2024-03,14,0.003744919734935015,0.6428571428571429,0.07142857142857142
P3_MOMENTUM_TOP20,1,2024-04,7,0.003367523402213516,0.5714285714285714,0.0
P3_MOMENTUM_TOP20,1,2024-05,10,0.017666427808281628,1.0,0.0
P3_MOMENTUM_TOP20,1,2024-07,1,0.0058383120758893625,1.0,0.0
P3_MOMENTUM_TOP20,1,2024-08,2,0.011184343962993948,1.0,0.0
P3_MOMENTUM_TOP20,1,2024-09,2,0.0027173327001772662,0.5,0.0
P3_MOMENTUM_TOP20,1,2024-10,2,0.011502517490944109,1.0,0.0
P3_MOMENTUM_TOP20,1,2024-11,34,0.008088473888294714,0.7352941176470589,0.0
P3_MOMENTUM_TOP20,1,2024-12,5,0.00352286246045268,0.8,0.0
P3_MOMENTUM_TOP20,1,2025-01,6,0.0037174250330329985,0.6666666666666666,0.0
P3_MOMENTUM_TOP20,1,2025-02,2,0.017402983471159428,1.0,0.0
P3_MOMENTUM_TOP20,1,2025-03,8,0.016930687251679094,0.75,0.0
P3_MOMENTUM_TOP20,1,2025-04,8,0.009175277569886772,1.0,0.0
P3_MOMENTUM_TOP20,1,2025-05,27,0.010493162212399347,0.7777777777777778,0.037037037037037035
P3_MOMENTUM_TOP20,1,2025-06,12,0.008746548257620446,0.8333333333333334,0.0
P3_MOMENTUM_TOP20,1,2025-07,23,0.009299146950342835,0.8260869565217391,0.0
P3_MOMENTUM_TOP20,1,2025-08,12,0.011724332028054988,0.8333333333333334,0.0
P3_MOMENTUM_TOP20,1,2025-11,6,0.00652384980985149,0.8333333333333334,0.0
P3_MOMENTUM_TOP20,1,2025-12,8,0.010873739850193853,0.875,0.0
P3_MOMENTUM_TOP20,1,2026-01,1,0.03249763245775816,1.0,0.0
P3_MOMENTUM_TOP20,1,2026-02,12,0.007909311991058618,0.75,0.0
P3_MOMENTUM_TOP20,1,2026-03,17,0.005828206952449422,0.7058823529411765,0.058823529411764705
P3_MOMENTUM_TOP20,1,2026-04,9,0.010352531129453755,0.7777777777777778,0.0
P3_MOMENTUM_TOP20,1,2026-06,6,0.015222323424661935,1.0,0.0
P3_MOMENTUM_TOP20,4,2024-01,13,0.005865981542777603,0.6923076923076923,0.15384615384615385
P3_MOMENTUM_TOP20,4,2024-02,9,-0.00042536846855969725,0.8888888888888888,0.0
P3_MOMENTUM_TOP20,4,2024-03,14,0.0004668768466503738,0.6428571428571429,0.07142857142857142
P3_MOMENTUM_TOP20,4,2024-04,7,0.007922648250563753,0.8571428571428571,0.0
P3_MOMENTUM_TOP20,4,2024-05,10,0.02176489613367586,1.0,0.0
P3_MOMENTUM_TOP20,4,2024-07,1,0.00946009376068413,1.0,0.0
