period,symbol,sizing_mode,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
2021Q2,ETHUSDT,fixed_risk_0_5pct,31,-0.032172967410239214,0.6656775519231112,-0.04438857173943256,0.3225806451612903,valid
2021Q2,SOLUSDT,fixed_1x,38,0.09597148089762214,1.191253355490533,-0.23835708196176608,0.34210526315789475,valid
2021Q2,SOLUSDT,fixed_risk_0_5pct,38,-0.017189657524185976,0.8723114365381416,-0.0733640466754516,0.34210526315789475,valid
2021Q3,BNBUSDT,fixed_1x,36,-0.0687974498069504,0.5301907392622627,-0.07756298819289043,0.3333333333333333,valid
2021Q3,BNBUSDT,fixed_risk_0_5pct,36,-0.053345263077009944,0.5434783310677519,-0.05649789112181047,0.3333333333333333,valid
2021Q3,BTCUSDT,fixed_1x,31,-0.05527032297604344,0.5294935606159008,-0.05822047163654276,0.3225806451612903,valid
2021Q3,BTCUSDT,fixed_risk_0_5pct,31,-0.06034659266272657,0.42163832048406846,-0.06336845722972873,0.3225806451612903,valid
2021Q3,ETHUSDT,fixed_1x,25,-0.05430889412686574,0.4899838473963512,-0.06710876155140255,0.28,valid
2021Q3,ETHUSDT,fixed_risk_0_5pct,25,-0.0453680234496075,0.43538824364478707,-0.05198587106291419,0.28,valid
2021Q3,SOLUSDT,fixed_1x,20,-0.009650648440771271,0.9560413191217698,-0.10041640213692116,0.4,valid
2021Q3,SOLUSDT,fixed_risk_0_5pct,20,0.007122170473904905,1.107727775081653,-0.038911672239663075,0.4,valid
2021Q4,BNBUSDT,fixed_1x,39,-0.11265634658606691,0.3094805577989255,-0.11497755916437247,0.1794871794871795,valid
2021Q4,BNBUSDT,fixed_risk_0_5pct,39,-0.09536330072057447,0.269927342618556,-0.09084881112145782,0.1794871794871795,valid
2021Q4,BTCUSDT,fixed_1x,27,-0.07874334685273077,0.3378361564072247,-0.09762554542754898,0.2222222222222222,valid
2021Q4,BTCUSDT,fixed_risk_0_5pct,27,-0.06025674000651694,0.3458501446253182,-0.07294204317826469,0.2222222222222222,valid
2021Q4,ETHUSDT,fixed_1x,33,-0.046289490083494214,0.5358442935013691,-0.06707242919791312,0.3939393939393939,valid
2021Q4,ETHUSDT,fixed_risk_0_5pct,33,-0.03866209845160634,0.5469434928598103,-0.05720526222468447,0.3939393939393939,valid
2021Q4,SOLUSDT,fixed_1x,23,-0.047232615738897074,0.7113726333468001,-0.05610173696140097,0.34782608695652173,valid
2021Q4,SOLUSDT,fixed_risk_0_5pct,23,-0.02465579437690183,0.7089245198107652,-0.02193115917114119,0.34782608695652173,valid
2022Q1,BNBUSDT,fixed_1x,30,-0.04939030014368908,0.41380383403432475,-0.05744418956559816,0.3,valid
