symbol,prototype,gate,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration,coverage_status
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_3x_8x_v1,124,1159.0952548387597,,-0.14866584355262213,2.9791211663296733,0.5887096774193549,23900.778736313645,-11483.560645335996,2.081303828531689,0,0.0,1000.0,1160095.2548387598,0.16669607104744052,0.46918996108944994,0.6342341156342901,95 days 07:15:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_4x_10x_v1,124,2010.9793029216462,,-0.18583230444077758,2.61431185148931,0.5887096774193549,44612.30855394316,-24425.86708855303,1.826437046930888,0,0.0,1000.0,2011979.3029216463,0.18136388120786656,0.39253861304230947,0.5876199489853461,112 days 01:45:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,124,3051.264322071656,,-0.22299876532893326,2.3785782199882926,0.5887096774193549,72117.88734533568,-43398.85204191861,1.6617464276630538,0,0.0,1000.0,3052264.322071656,0.22328012842710301,0.4844529782500397,0.6908204674961114,95 days 07:15:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_10x,198,24899392.992927108,,-0.40778753372703413,3.0444212233087757,0.5303030303030303,353129354.7296359,-130959024.23316847,2.696487369216344,0,0.0,1000.0,24899393992.92711,0.26965574860014163,0.5704118731506566,0.7927511577595607,66 days 10:30:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,198,248393445198.02988,,-0.6901293469240122,2.757910308999263,0.5303030303030303,3711370037549.334,-1519359233813.442,2.442720559399347,0,0.0,1000.0,248393445199029.88,0.42476984862835926,0.7610252994624723,0.9979614598327323,66 days 10:30:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,198,1415.0081232023995,,-0.2032641879950008,2.406552364220339,0.5303030303030303,23057.331569202135,-10817.330016815318,2.1315178083094426,0,0.0,1000.0,1416008.1232023996,0.1362733931107763,0.3447794740656859,0.5255345395214435,85 days 14:30:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,198,2591.0671442626863,,-0.2300358247927915,2.4203375137014915,0.5303030303030303,42050.74967029075,-19615.715818471395,2.143727512135607,0,0.0,1000.0,2592067.1442626864,0.1464256646595975,0.3819476500882864,0.587174842860269,117 days 11:30:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,198,7174.379922383568,,-0.23480683780760714,2.265332808707263,0.5303030303030303,122326.99803386311,-60967.256679269456,2.0064376305692897,0,0.0,1000.0,7175379.922383567,0.181697191152096,0.4175266438358191,0.6382651970999813,117 days 11:30:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,185,920486.2806139451,,-0.5874619451382748,2.125369401403237,0.5567567567567567,16877939.137734853,-9974895.73869201,1.692041659369567,0,0.0,1000.0,920487280.6139451,0.17841325819264026,0.4761599281655696,0.7286973539649577,96 days 06:22:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,185,2333813090.744848,,-0.8520169400047198,1.691240003487874,0.5567567567567567,55437702777.775925,-41174027992.269165,1.346424080446657,0,0.0,1000.0,2333813091744.8477,0.3340512486812329,0.956351975933904,1.37880107255847,101 days 21:07:00,usable
