symbol,prototype,gate,leverage_mode,trade_count,total_return,max_drawdown,profit_factor,liquidation_count,stress_liquidation_cases,final_equity,decision_status,allowed_next_step
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_3x_8x_v1,124,1159.0952548387597,-0.14866584355262213,2.9791211663296733,0,0,1160095.2548387598,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_4x_10x_v1,124,2010.9793029216462,-0.18583230444077758,2.61431185148931,0,0,2011979.3029216463,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,124,3051.264322071656,-0.22299876532893326,2.3785782199882926,0,0,3052264.322071656,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_10x,198,24899392.992927108,-0.40778753372703413,3.0444212233087757,0,0,24899393992.92711,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,198,248393445198.02988,-0.6901293469240122,2.757910308999263,0,0,248393445199029.88,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,198,1415.0081232023995,-0.2032641879950008,2.406552364220339,0,0,1416008.1232023996,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,198,2591.0671442626863,-0.2300358247927915,2.4203375137014915,0,0,2592067.1442626864,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,198,7174.379922383568,-0.23480683780760714,2.265332808707263,0,0,7175379.922383567,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
BTCUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,185,920486.2806139451,-0.5874619451382748,2.125369401403237,0,0,920487280.6139451,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,185,2333813090.744848,-0.8520169400047198,1.691240003487874,0,0,2333813091744.8477,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,185,650.1930354016142,-0.16835976426890087,2.7673405207405564,0,0,651193.0354016143,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,185,688.0431489180693,-0.19274571895162673,2.3080464496289625,0,0,689043.1489180693,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,185,576.03616274536,-0.20619555495884967,2.1114564398811497,0,0,577036.16274536,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x,111,42220.9896716512,-0.43629780255795325,2.0276244387652036,0,0,42221989.6716512,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,111,24138589.233764075,-0.7306071834636019,1.5536190064784303,0,0,24138590233.764076,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,111,74.2857797450089,-0.16112048334449613,2.819484683381801,0,0,75285.7797450089,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_4x_10x_v1,111,168.68564735237388,-0.16901406587371237,2.7440532573256573,0,0,169685.64735237387,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_5x_12x_v1,111,126.55438437428236,-0.17840146325331296,2.531814046282132,0,0,127554.38437428237,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_10x,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
BTCUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
BTCUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
BTCUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_4x_10x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
BTCUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_5x_12x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
BTCUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
BTCUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_20x,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
BTCUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_3x_8x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
BTCUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_4x_10x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
BTCUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_10x,185,247510.84286506684,-0.5119114415490307,2.1387565343556907,0,0,247511842.86506683,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,185,326886018.41018254,-0.7657762946942371,1.7555819162569137,0,0,326886019410.18256,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,185,418.5814865944628,-0.16835976426890076,2.871197700233877,0,0,419581.48659446277,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,185,755.183475702842,-0.19274571895162673,2.6676531076534085,0,0,756183.475702842,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,185,1036.1369781427713,-0.20619555495884956,2.5870518598649066,0,0,1037136.9781427714,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,190,651595.9603375166,-0.5779719932937815,2.0253087252349196,0,0,651596960.3375167,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,190,1013407699.4763727,-0.8482942559119853,1.6453040683654039,0,0,1013407700476.3727,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,190,498.06284896927025,-0.17737487029288412,2.5883242329489353,0,0,499062.84896927024,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,190,321.7385975214319,-0.2105950913814122,1.9880439558423377,0,0,322738.5975214319,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,190,406.17958973190326,-0.22627919079494274,1.9505236246777902,0,0,407179.5897319033,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x,114,34174.9511801157,-0.4429484370151623,1.7936107475891567,0,0,34175951.1801157,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,114,13889597.27558099,-0.7426205417477105,1.40244089992798,0,0,13889598275.58099,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,114,75.32584427632365,-0.16112048334449602,2.6489634206613952,0,0,76325.84427632365,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_4x_10x_v1,114,152.07810431623062,-0.16901406587371237,2.455115973034199,0,0,153078.10431623063,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_5x_12x_v1,114,137.8898405424815,-0.17840146325331296,2.447819355365025,0,0,138889.84054248148,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_10x,98,47878.702105436016,-0.35186641489991244,4.050496916561227,0,0,47879702.10543601,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,98,40218496.1552379,-0.6140084704028872,3.878360479719371,0,0,40218497155.2379,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,98,93.98339975052494,-0.13176305794224008,4.226384901215522,0,0,94983.39975052494,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_4x_10x_v1,98,123.15703857007959,-0.14403513586684513,3.941262337543291,0,0,124157.03857007959,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_5x_12x_v1,98,117.68865120001865,-0.17840146325331319,3.2616250763654437,0,0,118688.65120001865,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x,124,116085.53724987412,-0.5465715227738595,1.8596223780893002,0,0,116086537.24987411,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_20x,124,97148591.09585531,-0.8239046197309525,1.4715612690091049,0,0,97148592095.85532,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_3x_8x_v1,124,291.6344358572773,-0.1658212934001514,2.6352616829648934,0,0,292634.4358572773,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_4x_10x_v1,124,336.0716115974352,-0.20482026794976627,2.138585638766254,0,0,337071.6115974352,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,124,204.55964359232038,-0.2208837162874815,1.8870362028369043,0,0,205559.64359232038,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_10x,190,187641.59504885375,-0.5093237246256073,1.9737218541878638,0,0,187642595.04885375,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,190,169133626.50034443,-0.7699606782567294,1.6326993241763736,0,0,169133627500.34442,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,190,364.5827236424996,-0.17737487029288412,2.69203232983399,0,0,365582.7236424996,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,190,572.3414147500979,-0.21059509138141197,2.3839073290398805,0,0,573341.4147500979,risk_monitor_only,keep_as_risk_monitor
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,190,732.7975307837896,-0.22627919079494263,2.371634624834702,0,0,733797.5307837896,risk_monitor_only,keep_as_risk_monitor
SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,160,1025142.6007003933,-0.6292520284891164,2.4264141918920488,0,0,1025143600.7003933,risk_monitor_only,keep_as_risk_monitor
SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,160,7447978.638236189,-0.9807075491420045,2.064423875620931,1,3,7447979638.236189,unsafe_high_leverage,discard
SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,160,818.4267999766078,-0.18848562254377266,2.317779895579933,0,0,819426.7999766078,risk_monitor_only,keep_as_risk_monitor
SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,160,1238.4676586932144,-0.21749402919476113,2.450291780265309,0,0,1239467.6586932144,risk_monitor_only,keep_as_risk_monitor
SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,160,800.0769062173796,-0.24636576387138376,2.2598120946242224,0,0,801076.9062173796,risk_monitor_only,keep_as_risk_monitor
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x,96,142297.2420679549,-0.5342642490410718,2.7603098430539053,0,0,142298242.0679549,risk_monitor_only,keep_as_risk_monitor
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,96,5129393.673235945,-0.9503646141525949,2.119398765655661,1,3,5129394673.235946,unsafe_high_leverage,discard
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,96,946.8272920757975,-0.1480915881286723,3.7244813398099663,0,0,947827.2920757974,risk_monitor_only,keep_as_risk_monitor
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_4x_10x_v1,96,2991.3997172952427,-0.18977564640224498,3.086929079088934,0,0,2992399.7172952425,risk_monitor_only,keep_as_risk_monitor
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_5x_12x_v1,96,4667.98905089513,-0.20762119265256918,3.776308392177191,0,0,4668989.05089513,risk_monitor_only,keep_as_risk_monitor
SOLUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_10x,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
SOLUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
SOLUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
SOLUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_4x_10x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
SOLUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_5x_12x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
SOLUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
SOLUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_20x,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
SOLUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_3x_8x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
