factor,common,family,role,horizon,direction,original_q5_minus_q1,ordinary_bootstrap_mean,ordinary_bootstrap_p05,ordinary_bootstrap_p50,ordinary_bootstrap_p95,ordinary_positive_rate,ordinary_same_direction_rate,monthly_bootstrap_mean,monthly_bootstrap_p05,monthly_bootstrap_p50,monthly_bootstrap_p95,monthly_positive_rate,monthly_same_direction_rate,quarterly_bootstrap_mean,quarterly_bootstrap_p05,quarterly_bootstrap_p50,quarterly_bootstrap_p95,quarterly_positive_rate,quarterly_same_direction_rate,bootstrap_status
atr_percentile_200,Local volatility regime: ATR percentile within the previous 200 15m bars.,volatility_expansion,risk,8,1,0.0058537158157556,0.005847685142005619,0.003935156786038509,0.005825731801884152,0.0077654636095343815,1.0,1.0,0.00588428394465295,0.003883773190935574,0.005846629389502021,0.008030062255666506,1.0,1.0,0.0059705687203168625,0.004280615946578621,0.005836739139437405,0.008097528779977277,1.0,1.0,robust_candidate
atr_percentile_200,Local volatility regime: ATR percentile within the previous 200 15m bars.,volatility_expansion,risk,16,1,0.0093465101583494,0.00938587053218348,0.006977341882419116,0.00934316989025586,0.011916811108554602,1.0,1.0,0.009417565577549481,0.006436350542019101,0.009229839875806794,0.013025993956386265,1.0,1.0,0.009538729578333691,0.0066867454887511255,0.009311331552582717,0.013234400825914566,1.0,1.0,robust_candidate
atr_percentile_200,Local volatility regime: ATR percentile within the previous 200 15m bars.,volatility_expansion,risk,32,1,0.0113900120171898,0.01139609490226007,0.008309063481418837,0.011365259595752434,0.014590124120154584,1.0,1.0,0.011480787278734113,0.007530821827168208,0.01132454743566461,0.015917266158793943,1.0,1.0,0.011491275010034666,0.006867252826187712,0.01141108564288831,0.01638454849669214,1.0,1.0,robust_candidate
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,breakout_conviction,alpha,1,1,0.007688785459937,0.007683441429766478,0.006518653284322008,0.007662099049250173,0.00890605504826076,1.0,1.0,0.007706006966101592,0.0066177684318507275,0.007695876440102318,0.008801470771296612,1.0,1.0,0.007680741249912644,0.006895407991365068,0.007692290153478282,0.008409866558522482,1.0,1.0,robust_candidate
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,breakout_conviction,alpha,4,1,0.0077529412392172,0.007721221961262153,0.006016144013642806,0.007694784253649318,0.00948188778604201,1.0,1.0,0.007741590028085139,0.006045239305917238,0.007731599380769567,0.009428069113120855,1.0,1.0,0.00772629517013355,0.0063977030795859,0.007724511550192121,0.009041084102691242,1.0,1.0,robust_candidate
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,breakout_conviction,alpha,8,1,0.0089784448114718,0.008976427515009006,0.006919055606543946,0.008977799612800597,0.011055722029558325,1.0,1.0,0.008993192788252625,0.007068982858246077,0.008977242556572304,0.01097564551105043,1.0,1.0,0.008949606131560048,0.00702929447844604,0.008949811476208679,0.01085542286574021,1.0,1.0,robust_candidate
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,breakout_conviction,alpha,16,1,0.0087375924135691,0.008767993848712085,0.006147994993807162,0.00874536957275299,0.011484000301906239,1.0,1.0,0.008766496850932627,0.006270054001130421,0.008751332033976343,0.011316904444456467,1.0,1.0,0.008700078118826936,0.006226186715067751,0.008682781527909869,0.01118126336763166,1.0,1.0,robust_candidate
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,breakout_conviction,alpha,32,1,0.0108843083326611,0.010920280214708223,0.007680941208217319,0.010903777110920712,0.014190903244377297,1.0,1.0,0.010890192582196877,0.00795346954449007,0.010857165656471032,0.013870049139228988,1.0,1.0,0.010840312044862474,0.008576379520365333,0.010858321092465224,0.01300682259052173,1.0,1.0,robust_candidate
volatility_ratio_short_long,Volatility expansion: short ATR level relative to its longer rolling average.,volatility_expansion,risk,1,1,0.0051829802545337,0.005189368238174179,0.004081935939926589,0.005174795874136169,0.006352150537327427,1.0,1.0,0.005193768319693395,0.0040879846599270655,0.005176321096560895,0.006318852250568184,1.0,1.0,0.005200160737438037,0.004234939549371183,0.0052180104046546895,0.0060705758538655945,1.0,1.0,robust_candidate
volatility_ratio_short_long,Volatility expansion: short ATR level relative to its longer rolling average.,volatility_expansion,risk,4,1,0.0064431814192885,0.006429907953168597,0.0047920142269941325,0.006406024383577903,0.008068333691005607,1.0,1.0,0.0064373082414307305,0.00476740649629436,0.006403875835516361,0.008191781951948683,1.0,1.0,0.006475719650254058,0.004744043634698773,0.00645171106098946,0.008298259698010454,1.0,1.0,robust_candidate
