prototype,symbol,year,regime,bars,coverage
Regime-3,BTCUSDT,2024,TREND,6448,0.18351548269581056
Regime-3,BTCUSDT,2025,EXTREME,5263,0.15019977168949772
Regime-3,BTCUSDT,2025,RANGE,6537,0.18655821917808219
Regime-3,BTCUSDT,2025,TRANSITION,16350,0.4666095890410959
Regime-3,BTCUSDT,2025,TREND,6890,0.1966324200913242
Regime-3,BTCUSDT,2026,EXTREME,2547,0.14901708401591388
Regime-3,BTCUSDT,2026,RANGE,3453,0.2020243388719869
Regime-3,BTCUSDT,2026,TRANSITION,7837,0.45851860519541304
Regime-3,BTCUSDT,2026,TREND,3255,0.19043997191668616
Regime-3,ETHUSDT,2020,EXTREME,4943,0.14068192167577415
Regime-3,ETHUSDT,2020,RANGE,8894,0.2531306921675774
Regime-3,ETHUSDT,2020,TRANSITION,15026,0.42765255009107467
Regime-3,ETHUSDT,2020,TREND,6273,0.17853483606557377
Regime-3,ETHUSDT,2021,EXTREME,4578,0.13065068493150686
Regime-3,ETHUSDT,2021,RANGE,6502,0.18555936073059362
Regime-3,ETHUSDT,2021,TRANSITION,15751,0.4495148401826484
Regime-3,ETHUSDT,2021,TREND,8209,0.23427511415525115
Regime-3,ETHUSDT,2022,EXTREME,5101,0.14557648401826484
Regime-3,ETHUSDT,2022,RANGE,8933,0.25493721461187213
Regime-3,ETHUSDT,2022,TRANSITION,14584,0.41621004566210046
Regime-3,ETHUSDT,2022,TREND,6422,0.18327625570776257
Regime-3,ETHUSDT,2023,EXTREME,5132,0.14646118721461188
Regime-3,ETHUSDT,2023,RANGE,11543,0.32942351598173514
Regime-3,ETHUSDT,2023,TRANSITION,13630,0.3889840182648402
Regime-3,ETHUSDT,2023,TREND,4735,0.1351312785388128
Regime-3,ETHUSDT,2024,EXTREME,5248,0.1493624772313297
Regime-3,ETHUSDT,2024,RANGE,8200,0.23337887067395263
Regime-3,ETHUSDT,2024,TRANSITION,15408,0.4385245901639344
Regime-3,ETHUSDT,2024,TREND,6280,0.17873406193078326
Regime-3,ETHUSDT,2025,EXTREME,5001,0.14272260273972603
Regime-3,ETHUSDT,2025,RANGE,8425,0.240439497716895
Regime-3,ETHUSDT,2025,TRANSITION,14972,0.42728310502283107
Regime-3,ETHUSDT,2025,TREND,6642,0.18955479452054794
Regime-3,ETHUSDT,2026,EXTREME,2573,0.15053826351509478
Regime-3,ETHUSDT,2026,RANGE,4518,0.2643341914345893
Regime-3,ETHUSDT,2026,TRANSITION,7337,0.429265153288088
Regime-3,ETHUSDT,2026,TREND,2664,0.15586239176222794
Regime-3,SOLUSDT,2020,EXTREME,1534,0.14699118436182446
Regime-3,SOLUSDT,2020,RANGE,1904,0.18244538137217325
Regime-3,SOLUSDT,2020,TRANSITION,4918,0.47125335377539285
Regime-3,SOLUSDT,2020,TREND,2080,0.19931008049060944
Regime-3,SOLUSDT,2021,EXTREME,4690,0.1338470319634703
Regime-3,SOLUSDT,2021,RANGE,6435,0.1836472602739726
Regime-3,SOLUSDT,2021,TRANSITION,15435,0.4404965753424658
Regime-3,SOLUSDT,2021,TREND,8480,0.2420091324200913
Regime-3,SOLUSDT,2022,EXTREME,4752,0.1375
Regime-3,SOLUSDT,2022,RANGE,9217,0.26669560185185187
Regime-3,SOLUSDT,2022,TRANSITION,14956,0.43275462962962963
Regime-3,SOLUSDT,2022,TREND,5635,0.16304976851851852
Regime-3,SOLUSDT,2023,EXTREME,4445,0.12685502283105024
Regime-3,SOLUSDT,2023,RANGE,10712,0.3057077625570776
Regime-3,SOLUSDT,2023,TRANSITION,14907,0.4254280821917808
Regime-3,SOLUSDT,2023,TREND,4976,0.14200913242009133
Regime-3,SOLUSDT,2024,EXTREME,4837,0.137665072859745
Regime-3,SOLUSDT,2024,RANGE,8349,0.23761953551912568
Regime-3,SOLUSDT,2024,TRANSITION,15477,0.4404883879781421
Regime-3,SOLUSDT,2024,TREND,6473,0.18422700364298725
Regime-3,SOLUSDT,2025,EXTREME,4823,0.13764269406392693
Regime-3,SOLUSDT,2025,RANGE,8254,0.2355593607305936
Regime-3,SOLUSDT,2025,TRANSITION,15293,0.43644406392694063
Regime-3,SOLUSDT,2025,TREND,6670,0.1903538812785388
Regime-3,SOLUSDT,2026,EXTREME,2419,0.14152820032763866
Regime-3,SOLUSDT,2026,RANGE,4925,0.28814650128715186
Regime-3,SOLUSDT,2026,TRANSITION,7009,0.41007488883688276
Regime-3,SOLUSDT,2026,TREND,2739,0.1602504095483267
