data_layer,symbol,prototype,gate,leverage_mode,h3_trade_count,h4_trade_count,h3_profit_factor,h4_profit_factor,h3_max_drawdown,h4_max_drawdown,h3_liquidation_count,h4_liquidation_count,h3_stress_liquidation_cases,h4_stress_liquidation_cases,risk_retention_status
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_10x,,151,,2.4795709037516906,,-0.600473334943428,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,,151,,1.7847303425693612,,-0.9975,,2,,6,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,,151,,3.6696360175385023,,-0.20811590722767126,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,,151,,3.2997559014320035,,-0.21522714026819156,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,,151,,2.7672136013360853,,-0.2690339253352393,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,,201,,1.6920919893599837,,-0.6423061518297155,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,,201,,1.2541569964310981,,-0.9988185327877861,,3,,9,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,,201,,2.3711397368062737,,-0.201126875894848,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,,201,,2.187672143121687,,-0.2553047142170213,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,,201,,2.1085147579245707,,-0.2690339253352394,,0,,0,insufficient_h4_sample
