factor,label,prototype,symbol,event_count,top20_minus_bottom20
ema_gap_atr,fast_follow_through,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.009009009009009028
ema_gap_atr,fast_follow_through,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.046511627906976716
ema_gap_atr,fast_follow_through,P4_BREAKOUT_TOP20,SOLUSDT,960,0.10416666666666663
ema_gap_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
ema_gap_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
ema_gap_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
ema_gap_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
ema_gap_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
ema_gap_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.009009009009009009
ema_gap_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
ema_gap_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
ema_gap_atr,mae_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0002297042455515322
ema_gap_atr,mae_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.00046740992168432913
ema_gap_atr,mae_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,9.464864282100153e-05
ema_gap_atr,mae_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,0.000440450452515468
ema_gap_atr,mfe_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.0016143534040271596
ema_gap_atr,mfe_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.0017089413274224115
ema_gap_atr,mfe_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,-0.002579031895248003
ema_gap_atr,mfe_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.004826412828345188
atr_pct,safe_for_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.023346303501945553
atr_pct,safe_for_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0045045045045044585
atr_pct,safe_for_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
atr_pct,safe_for_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
atr_pct,safe_for_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0038910505836576847
atr_pct,safe_for_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.05405405405405406
atr_pct,safe_for_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.023255813953488413
atr_pct,safe_for_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.02083333333333337
atr_pct,fast_follow_through,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.05058365758754868
atr_pct,fast_follow_through,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.022522522522522515
atr_pct,fast_follow_through,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.041860465116279055
atr_pct,fast_follow_through,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.015625
atr_pct,hit_liquidation_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
atr_pct,hit_liquidation_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
atr_pct,hit_liquidation_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
atr_pct,hit_liquidation_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
atr_pct,hit_liquidation_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
atr_pct,hit_liquidation_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.009009009009009009
atr_pct,hit_liquidation_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
atr_pct,hit_liquidation_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
atr_pct,mae_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.0006878950543740539
atr_pct,mae_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.0015975120989137042
atr_pct,mae_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,-0.000572348178183702
atr_pct,mae_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.0005347936409489911
atr_pct,mfe_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.010147147665295337
atr_pct,mfe_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.006988808197603929
atr_pct,mfe_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.01298406653333753
atr_pct,mfe_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,0.014372210853476744
atr_pct_rank,safe_for_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.023346303501945553
atr_pct_rank,safe_for_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0045045045045044585
