label,period,trade_count,total_return_pct,net_pnl,profit_factor,max_drawdown_pct,win_rate_pct,avg_win,avg_loss,payoff_ratio,avg_mae_atr,avg_mfe_atr,longest_drawdown_duration,top_1_profit_contribution,top_3_profit_contribution,top_5_profit_contribution,top_10_profit_contribution
B3,2024Q4,11,-5.488476463796321,-56.79681050404585,0.7301107973065414,-22.36919328954722,9.090909090909092,153.6481051769861,-21.04449156810319,7.301107973065415,-1.7816554813742846,2.9854064449052866,78990,0.0,0.0,0.0,0.0
B3,2025Q1,5,-1.7865592341736014,-17.473275561433518,0.7825676278017267,-9.233124266523951,40.0,31.444305343750223,-26.78729541631132,1.17385144170259,-1.3909240167749986,3.873148295371987,105307,0.0,0.0,0.0,0.0
B3,2025Q2,11,41.802008210043965,401.53645307413734,2.3691670044943884,-19.96153491633984,36.36363636363637,173.70176768104673,-41.89580252143565,4.146042257865179,-1.8266625371385672,8.968804333990162,49332,127.24690345090144,171.76327161723256,173.0371091851782,173.0371091851782
B3,2025Q3,14,16.728000092504903,227.8527296657277,1.7419306259079057,-12.629606108309488,50.0,76.42294193433364,-43.872551982086826,1.7419306259079057,-1.7727471161342898,6.943982792486998,77554,73.81302066663879,167.00413791897816,216.33956668570994,234.78349121608142
B3,2025Q4,7,19.905288345283335,316.4854374369716,2.2889322566576618,-14.139649871448402,57.14285714285714,140.50655547840358,-81.8469281588809,1.7166991924932462,-1.3761344939028004,8.893675885290255,40245,53.97520516481785,143.48000212205238,177.58359640972185,177.58359640972185
B3,2026Q1,4,15.37253646282306,293.06849089291916,9.914800374931357,-5.346579298796561,50.0,162.97143296425497,-16.43718751779541,9.914800374931357,-1.555551122255814,10.011991428760645,104016,104.32832463309882,111.21730109416723,111.21730109416723,111.21730109416723
B3,2026Q2,6,-7.249300755157872,-159.44913029613818,0.3075692317224998,-12.736212843614425,16.666666666666664,70.82534276459236,-46.05489461214611,1.537846158612499,-1.8562704947394464,4.437825687831759,106113,0.0,0.0,0.0,0.0
C1,2024Q1,44,8.979536880680872,69.0511761263773,1.0897733644552967,-31.204578710796504,31.818181818181817,59.87309820474858,-25.639073291336764,2.335228638118493,-1.9040592683445923,5.465734074830943,68804,318.738085010111,623.6700123001389,856.8618125445846,1156.843965287907
C1,2024Q2,34,3.261385129385297,79.31006765883829,1.1305419549200868,-24.564314349677197,26.47058823529412,76.31719199714253,-24.301786412617783,3.1403943192224633,-2.215806734299152,5.08282675235573,60336,476.0891256291349,721.5402374449513,801.7266004208226,866.0372488003292
C1,2024Q3,38,-26.03189330153377,-316.8924576706532,0.4775916580605607,-34.525124741466406,23.684210526315788,32.18963279949523,-20.917212167796905,1.5389064537506953,-2.1391649349486146,3.9486693535732154,110871,0.0,0.0,0.0,0.0
C1,2024Q4,43,4.5672296530665735,37.97508895541692,1.0599851921089238,-26.56434459407011,34.883720930232556,44.736631988183326,-22.60979967383332,1.9786390252699915,-1.9760838051207854,4.641120612284502,71456,411.6321221582194,799.5756134228332,1137.9642170491281,1635.6220321883577
C1,2025Q1,31,-18.4822263392484,-160.69258488316572,0.5942972490222707,-38.264193221978715,29.03225806451613,26.15466096358411,-18.003842434337397,1.4527266087211061,-1.8767002966807005,4.171804585788438,85437,0.0,0.0,0.0,0.0
C1,2025Q2,48,-23.953775882995554,-174.12634214508367,0.7609189266075125,-43.15662338690963,16.666666666666664,69.27358755288077,-18.207876064203248,3.804594633037562,-2.287466681209158,4.692595785865169,69372,0.0,0.0,0.0,0.0
C1,2025Q3,39,30.208894126302212,166.8017870790466,1.4111410661590515,-25.250649094418865,33.33333333333333,44.03894635800349,-15.604019829807648,2.822282132318103,-1.9809677162604105,5.053099435865524,56332,59.206222874303414,160.11281135972243,230.74933163553902,320.6302752863889
C1,2025Q4,29,-26.098551794161217,-183.06221976359006,0.48959987396089255,-34.54576726614009,20.689655172413794,29.26698589032988,-15.594092830676928,1.8767995168500882,-2.1358175576426595,4.01526147494811,129412,0.0,0.0,0.0,0.0
C1,2026Q1,33,-16.17843482443154,-92.63394800553432,0.6713582185264506,-27.690933833671316,24.242424242424242,23.6543882328428,-11.274762154731068,2.0979944328951583,-2.1467659933259653,4.756790442049432,110638,0.0,0.0,0.0,0.0
C1,2026Q2,32,-22.243904161133532,-88.28862598367452,0.5966931696753109,-35.7645085819295,18.75,21.770529748638626,-8.419684787519474,2.585670401926347,-2.130573156948868,4.610884113163384,84184,0.0,0.0,0.0,0.0
