symbol,prototype,year,quarter,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
BNBUSDT,P4_BREAKOUT_TOP20,2022,,30,0.4168741974552761,1.3758641246265204,-0.2808661049736403,0.43333333333333335,valid
BNBUSDT,P4_BREAKOUT_TOP20,2023,,56,0.043870172691248856,1.019257592154736,-0.8369501448946145,0.32142857142857145,valid
BNBUSDT,P4_BREAKOUT_TOP20,2024,,56,0.7851938473377418,1.1995879353430583,-0.5808531934475921,0.375,valid
BNBUSDT,P4_BREAKOUT_TOP20,2025,,51,-0.8515571680763602,0.5826232667782345,-1.0170092697111157,0.29411764705882354,valid
BNBUSDT,P4_BREAKOUT_TOP20,2026,,28,-0.5668974092913642,0.33151268607750917,-0.5817507299743485,0.25,partial_year
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020,,64,-0.2626738252023821,0.7232284347117124,-0.47011108242009225,0.28125,valid
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2021,,73,3.543876739901066,1.6648948402069135,-0.2985651140279759,0.3835616438356164,valid
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2022,,38,0.4422871092260987,1.2942143668829065,-0.380911987189539,0.3684210526315789,valid
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2023,,59,0.04793854094657047,1.01757024252103,-0.877348235764587,0.3220338983050847,valid
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2024,,65,-0.315608345766537,0.9125422387896157,-0.8471112121621991,0.35384615384615387,valid
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2025,,60,-0.3594111272234317,0.8197143279877623,-0.7281039543797125,0.3,valid
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2026,,30,-0.5611613223313647,0.3052306100732673,-0.5739049951605022,0.23333333333333334,partial_year
