symbol,prototype,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,190,651595.9603375166,,-0.5779719932937815,2.0253087252349196,0.5473684210526316,12376037.721421162,-7389673.984770744,1.6747745227904143,0,0.0,1000.0,651596960.3375167,0.1784133381771924,0.4761601416331057,0.7286976806476948,96 days 06:22:00
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1,190,498.06284896927025,,-0.17737487029288412,2.5883242329489353,0.5473684210526316,7804.234771320496,-3646.250781954202,2.1403450387846963,0,0.0,1000.0,499062.84896927024,0.14329489024749584,0.3765298132430184,0.5709091806836956,96 days 06:22:00
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_4x_10x_v1,190,321.7385975214319,,-0.2105950913814122,1.9880439558423377,0.5473684210526316,6224.716000171508,-3786.417052283778,1.6439594250234717,0,0.0,1000.0,322738.5975214319,0.17981301732286578,0.4569289778636818,0.6059210499592158,104 days 23:07:00
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1,190,406.17958973190326,,-0.22627919079494274,1.9505236246777902,0.5473684210526316,8014.437688960976,-4968.859650233002,1.612932997329711,0,0.0,1000.0,407179.5897319033,0.20512946021425676,0.5232698633886173,0.683492319742803,104 days 23:07:00
SOLUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,160,45.028852745589326,,-0.16538574139895512,2.9708441535259755,0.58125,729.8532059417756,-341.0073941342661,2.1402855729703263,0,0.0,1000.0,46028.85274558933,0.14672813979376387,0.33535938613934524,0.4552891163420335,83 days 22:45:00
SOLUSDT,P4_BREAKOUT_TOP20,fixed_3x,160,240.76936166271625,,-0.23973429463717877,2.7759096596941775,0.58125,4046.7160459864863,-2023.5109046869693,1.9998488946183863,0,0.0,1000.0,241769.36166271626,0.1988349066190146,0.3784049452985713,0.5084658220924041,95 days 14:00:00
SOLUSDT,P4_BREAKOUT_TOP20,fixed_5x,160,4458.349646524698,,-0.37313190664044726,2.5846393441302467,0.58125,78191.70675358054,-41992.22509788495,1.8620520006099623,0,0.0,1000.0,4459349.6465246985,0.28313196792486023,0.475274362908042,0.6189106503637052,95 days 14:00:00
SOLUSDT,P4_BREAKOUT_TOP20,fixed_8x,160,154362.90716218267,,-0.5388639138630286,2.4732101439205847,0.58125,2786482.495232873,-1563880.0730518587,1.7817750499212817,0,0.0,1000.0,154363907.16218266,0.3698656170063649,0.5965649833892857,0.7706584192426229,95 days 14:00:00
SOLUSDT,P4_BREAKOUT_TOP20,fixed_10x,160,1025142.6007003933,,-0.6292520284891164,2.4264141918920488,0.58125,18750835.299621362,-10726643.017379003,1.7480618371695404,0,0.0,994.1914039628448,1025143600.7003933,0.4097580582511532,0.6517566282931151,0.8433451118695798,95 days 14:00:00
SOLUSDT,P4_BREAKOUT_TOP20,adaptive_3x_8x_v1,160,818.4267999766078,,-0.18848562254377266,2.317779895579933,0.58125,15478.405057099273,-9269.624930352602,1.6697984193962958,0,0.0,1000.0,819426.7999766078,0.19001640194974273,0.4983095549022486,0.6885414455393694,95 days 14:00:00
SOLUSDT,P4_BREAKOUT_TOP20,adaptive_4x_10x_v1,160,1238.4676586932144,,-0.21749402919476113,2.450291780265309,0.58125,22499.04782983256,-12745.429693749466,1.7652639707287707,0,0.0,1000.0,1239467.6586932144,0.1852763703451579,0.43281041547786714,0.6520491434619752,95 days 14:00:00
SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1,160,800.0769062173796,,-0.24636576387138376,2.2598120946242224,0.58125,15431.755780144735,-9478.751960240013,1.6280366703206763,0,0.0,1000.0,801076.9062173796,0.2119044216419826,0.5031917372402677,0.7666726705177668,183 days 06:15:00
