trade_id,symbol,mode,decision_entry_time,actual_entry_time,decision_exit_time,actual_exit_time,hold_periods,min_known_rate_decimal,min_known_rate_bp,known_rate_decimal,known_rate_bp,funding_income,spot_qty,perp_qty,spot_entry_notional,perp_entry_notional,spot_pnl,perp_pnl,two_leg_residual_pnl,gross_carry_pnl,basis_pnl,initial_net_delta,spot_entry_source,perp_entry_source,spot_exit_source,perp_exit_source,same_minute_close_used,future_price_used,execution_status,passes_cost_coverage_gate,required_avg_rate_decimal,required_avg_rate_bp,legacy_total_cost_rate,net_pnl,net_return,total_fee,total_slippage,total_cost,accounting_expected_net,accounting_error,accounting_status,explicit_total_cost_rate,mapping_status
FRC1_SOLUSDT_2025-08-31 08:00:00+00:00,SOLUSDT,funding,2025-08-31 08:00:00+00:00,2025-08-31 08:01:00+00:00,2025-09-01 08:00:00+00:00,2025-09-01 08:01:00+00:00,3,5e-05,0.5,9.518e-05,0.9518,1.8847,49.13039206052864,49.13039206052864,10000,10000,21.12606858602765,-21.12606858602765,0.0,1.8846999999999987,0.0,0.0,open,open,open,open,False,False,ok,False,0.0008333333333333,8.333333333333334,0.0022,-21.1153,-0.00211153,16.0,5.999999999999999,23.0,-21.1153,0.0,ok,0.0023,explicit
FRC1_SOLUSDT_2025-09-02 08:00:00.005000+00:00,SOLUSDT,funding,2025-09-02 08:00:00.005000+00:00,2025-09-02 08:01:00+00:00,2025-09-03 16:00:00.002000+00:00,2025-09-03 16:01:00+00:00,4,5e-05,0.5,0.0001,1.0,2.9318,49.45843018942579,49.45843018942579,10000,10000,465.40382808249655,-465.40382808249655,0.0,2.9318000000000097,0.0,0.0,open,open,open,open,False,False,ok,False,0.000625,6.25,0.0022,-20.401533333333322,-0.002040153333333332,16.0,5.999999999999999,23.333333333333332,-20.401533333333322,0.0,ok,0.002333333333333333,explicit
FRC1_SOLUSDT_2025-09-04 08:00:00+00:00,SOLUSDT,funding,2025-09-04 08:00:00+00:00,2025-09-04 08:01:00+00:00,2025-09-05 00:00:00.001000+00:00,2025-09-05 00:01:00+00:00,2,5e-05,0.5,6.703e-05,0.6703,0.6234,48.39568310506703,48.39568310506703,10000,10000,-201.8099985481289,201.8099985481289,0.0,0.6234000000000037,0.0,0.0,open,open,open,open,False,False,ok,False,0.00125,12.5,0.0022,-22.043266666666664,-0.0022043266666666663,16.0,5.999999999999999,22.666666666666668,-22.043266666666664,0.0,ok,0.002266666666666667,explicit
FRC1_SOLUSDT_2025-09-06 00:00:00+00:00,SOLUSDT,funding,2025-09-06 00:00:00+00:00,2025-09-06 00:01:00+00:00,2025-09-06 16:00:00+00:00,2025-09-06 16:01:00+00:00,2,5e-05,0.5,8.9e-05,0.8899999999999999,1.1754,49.20533385819023,49.20533385819023,10000,10000,-105.79146779510788,105.79146779510788,0.0,1.1753999999999962,0.0,0.0,open,open,open,open,False,False,ok,False,0.00125,12.5,0.0022,-21.49126666666667,-0.002149126666666667,16.0,5.999999999999999,22.666666666666668,-21.49126666666667,0.0,ok,0.002266666666666667,explicit
FRC1_SOLUSDT_2025-09-07 08:00:00+00:00,SOLUSDT,funding,2025-09-07 08:00:00+00:00,2025-09-07 08:01:00+00:00,2025-09-07 16:00:00+00:00,2025-09-07 16:01:00+00:00,1,5e-05,0.5,6.542e-05,0.6541999999999999,0.3077,49.26351051775949,49.26351051775949,10000,10000,106.40918271836034,-106.40918271836034,0.0,0.307699999999997,0.0,0.0,open,open,open,open,False,False,ok,False,0.0025,25.0,0.0022,-22.025633333333335,-0.0022025633333333334,16.0,5.999999999999999,22.333333333333332,-22.025633333333335,0.0,ok,0.0022333333333333333,explicit
FRC1_SOLUSDT_2025-09-08 00:00:00.007000+00:00,SOLUSDT,funding,2025-09-08 00:00:00.007000+00:00,2025-09-08 00:01:00+00:00,2025-09-10 00:00:00+00:00,2025-09-10 00:01:00+00:00,6,5e-05,0.5,0.0001,1.0,5.2533,48.4824978182876,48.4824978182876,10000,10000,537.1860758266272,-537.1860758266272,0.0,5.253299999999967,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-18.746700000000033,-0.0018746700000000032,16.0,5.999999999999999,24.0,-18.746700000000033,0.0,ok,0.0024,explicit
FRC1_SOLUSDT_2025-09-10 08:00:00.002000+00:00,SOLUSDT,funding,2025-09-10 08:00:00.002000+00:00,2025-09-10 08:01:00+00:00,2025-09-11 08:00:00+00:00,2025-09-11 08:01:00+00:00,3,5e-05,0.5,0.0001,1.0,1.2963,45.02273648192337,45.02273648192337,10000,10000,40.97069019855011,-40.97069019855011,0.0,1.2963000000000022,0.0,0.0,open,open,open,open,False,False,ok,False,0.0008333333333333,8.333333333333334,0.0022,-21.703699999999998,-0.0021703699999999996,16.0,5.999999999999999,23.0,-21.703699999999998,0.0,ok,0.0023,explicit
FRC1_SOLUSDT_2025-09-11 16:00:00.001000+00:00,SOLUSDT,funding,2025-09-11 16:00:00.001000+00:00,2025-09-11 16:01:00+00:00,2025-09-12 00:00:00.002000+00:00,2025-09-12 00:01:00+00:00,1,5e-05,0.5,9.486e-05,0.9486,0.0236,44.064510443288974,44.064510443288974,10000,10000,72.26579712699457,-72.26579712699457,0.0,0.0236000000000018,0.0,0.0,open,open,open,open,False,False,ok,False,0.0025,25.0,0.0022,-22.30973333333333,-0.002230973333333333,16.0,5.999999999999999,22.333333333333332,-22.30973333333333,0.0,ok,0.0022333333333333333,explicit
FRC1_SOLUSDT_2025-09-13 08:00:00.002000+00:00,SOLUSDT,funding,2025-09-13 08:00:00.002000+00:00,2025-09-13 08:01:00+00:00,2025-09-14 00:00:00.006000+00:00,2025-09-14 00:01:00+00:00,2,5e-05,0.5,6.327e-05,0.6326999999999999,0.5247,41.24561765312435,41.24561765312435,10000,10000,-3.299649412249292,3.299649412249292,0.0,0.5247000000000002,0.0,0.0,open,open,open,open,False,False,ok,False,0.00125,12.5,0.0022,-22.14196666666667,-0.002214196666666667,16.0,5.999999999999999,22.666666666666668,-22.14196666666667,0.0,ok,0.002266666666666667,explicit
FRC1_SOLUSDT_2025-09-14 08:00:00+00:00,SOLUSDT,funding,2025-09-14 08:00:00+00:00,2025-09-14 08:01:00+00:00,2025-09-14 16:00:00.001000+00:00,2025-09-14 16:01:00+00:00,1,5e-05,0.5,5.813e-05,0.5813,0.292,40.64049418840933,40.64049418840933,10000,10000,-109.72933430870472,109.72933430870472,0.0,0.2920000000000016,0.0,0.0,open,open,open,open,False,False,ok,False,0.0025,25.0,0.0022,-22.04133333333333,-0.002204133333333333,16.0,5.999999999999999,22.333333333333332,-22.04133333333333,0.0,ok,0.0022333333333333333,explicit
