trade_id,exchange,symbol,mode,spot_entry_time,derivative_entry_time,spot_exit_time,derivative_exit_time,spot_quantity,derivative_quantity,initial_delta,max_absolute_delta,initial_basis,exit_basis,basis_convergence_pnl,funding_income,funding_paid,spot_gross_pnl,derivative_gross_pnl,directional_residual_pnl,spot_fee,derivative_fee,slippage_cost,borrow_cost,transfer_cost,rebalance_cost,liquidation_fee,net_pnl,net_return,annualized_carry,exit_reason
FRC1_BTCUSDT_1474,binance,BTCUSDT,funding,2025-01-06 08:00:00.001000+00:00,2025-01-06 08:00:00.001000+00:00,2025-01-06 16:00:00.001000+00:00,2025-01-06 16:00:00.001000+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1475,binance,BTCUSDT,funding,2025-01-06 16:00:00+00:00,2025-01-06 16:00:00+00:00,2025-01-07 00:00:00+00:00,2025-01-07 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1476,binance,BTCUSDT,funding,2025-01-07 00:00:00+00:00,2025-01-07 00:00:00+00:00,2025-01-07 08:00:00+00:00,2025-01-07 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-1.0969999999999998e-05,0.0,1.0,0.0,0.0,0.0,-0.10969999999999998,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1477,binance,BTCUSDT,funding,2025-01-07 08:00:00+00:00,2025-01-07 08:00:00+00:00,2025-01-07 16:00:00+00:00,2025-01-07 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-6.240000000000008e-06,0.0,0.8903000000000001,0.0,0.0,0.0,-0.06240000000000008,4.0,4.0,2.0,0,0,0,0,-9.1097,-0.00091097,-0.9975121499999999,next_funding_or_cost
FRC1_BTCUSDT_1478,binance,BTCUSDT,funding,2025-01-07 16:00:00.008000+00:00,2025-01-07 16:00:00.008000+00:00,2025-01-08 00:00:00.008000+00:00,2025-01-08 00:00:00.008000+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,1.7210000000000006e-05,0.0,0.8279,0.0,0.0,0.0,0.17210000000000006,4.0,4.0,2.0,0,0,0,0,-9.1721,-0.00091721,-1.00434495,next_funding_or_cost
FRC1_BTCUSDT_1479,binance,BTCUSDT,funding,2025-01-08 00:00:00.001000+00:00,2025-01-08 00:00:00.001000+00:00,2025-01-08 08:00:00.001000+00:00,2025-01-08 08:00:00.001000+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1480,binance,BTCUSDT,funding,2025-01-08 08:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 16:00:00+00:00,2025-01-08 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1481,binance,BTCUSDT,funding,2025-01-08 16:00:00+00:00,2025-01-08 16:00:00+00:00,2025-01-09 00:00:00+00:00,2025-01-09 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1482,binance,BTCUSDT,funding,2025-01-09 00:00:00+00:00,2025-01-09 00:00:00+00:00,2025-01-09 08:00:00+00:00,2025-01-09 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-1.6600000000000078e-06,0.0,1.0,0.0,0.0,0.0,-0.01660000000000008,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1483,binance,BTCUSDT,funding,2025-01-09 08:00:00+00:00,2025-01-09 08:00:00+00:00,2025-01-09 16:00:00+00:00,2025-01-09 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-0.00010378,0.0,0.9833999999999999,0.0,0.0,0.0,-1.0378,4.0,4.0,2.0,0,0,0,0,-9.0166,-0.0009016600000000001,-0.9873177000000001,next_funding_or_cost
FRC1_BTCUSDT_1487,binance,BTCUSDT,funding,2025-01-10 16:00:00+00:00,2025-01-10 16:00:00+00:00,2025-01-11 00:00:00+00:00,2025-01-11 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-2.3979999999999997e-05,0.0,0.8078,0.0,0.0,0.0,-0.23979999999999999,4.0,4.0,2.0,0,0,0,0,-9.1922,-0.00091922,-1.0065459,next_funding_or_cost
FRC1_BTCUSDT_1488,binance,BTCUSDT,funding,2025-01-11 00:00:00+00:00,2025-01-11 00:00:00+00:00,2025-01-11 08:00:00+00:00,2025-01-11 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-1.6249999999999995e-05,0.0,0.568,0.0,0.0,0.0,-0.16249999999999995,4.0,4.0,2.0,0,0,0,0,-9.432,-0.0009432,-1.032804,next_funding_or_cost
FRC1_BTCUSDT_1491,binance,BTCUSDT,funding,2025-01-12 00:00:00+00:00,2025-01-12 00:00:00+00:00,2025-01-12 08:00:00+00:00,2025-01-12 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-1.7990000000000002e-05,0.0,0.5009,0.0,0.0,0.0,-0.17990000000000003,4.0,4.0,2.0,0,0,0,0,-9.4991,-0.00094991,-1.04015145,next_funding_or_cost
FRC1_BTCUSDT_1493,binance,BTCUSDT,funding,2025-01-12 16:00:00+00:00,2025-01-12 16:00:00+00:00,2025-01-13 00:00:00+00:00,2025-01-13 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-1.3810000000000005e-05,0.0,0.6647000000000001,0.0,0.0,0.0,-0.13810000000000006,4.0,4.0,2.0,0,0,0,0,-9.3353,-0.00093353,-1.02221535,next_funding_or_cost
FRC1_BTCUSDT_1494,binance,BTCUSDT,funding,2025-01-13 00:00:00+00:00,2025-01-13 00:00:00+00:00,2025-01-13 08:00:00+00:00,2025-01-13 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,1.7229999999999996e-05,0.0,0.5266,0.0,0.0,0.0,0.17229999999999995,4.0,4.0,2.0,0,0,0,0,-9.4734,-0.00094734,-1.0373373,next_funding_or_cost
FRC1_BTCUSDT_1495,binance,BTCUSDT,funding,2025-01-13 08:00:00+00:00,2025-01-13 08:00:00+00:00,2025-01-13 16:00:00+00:00,2025-01-13 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-6.107999999999999e-05,0.0,0.6989,0.0,0.0,0.0,-0.6107999999999999,4.0,4.0,2.0,0,0,0,0,-9.3011,-0.0009301099999999999,-1.01847045,next_funding_or_cost
FRC1_BTCUSDT_1497,binance,BTCUSDT,funding,2025-01-14 00:00:00+00:00,2025-01-14 00:00:00+00:00,2025-01-14 08:00:00+00:00,2025-01-14 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1498,binance,BTCUSDT,funding,2025-01-14 08:00:00+00:00,2025-01-14 08:00:00+00:00,2025-01-14 16:00:00+00:00,2025-01-14 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-5.040000000000006e-06,0.0,1.0,0.0,0.0,0.0,-0.05040000000000006,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
