sample_reason,event_id,symbol,side,signal_time,execution_time,execution_open,p4_phase,trend_strength_atr,volatility_regime,deviation_ema20_atr,fwd_ret_16,fwd_mae_16,fwd_mfe_16,plus_1atr_first_16,minus_1atr_first_16,subsequent_trend_breakout
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_long_2026-02-15T15:30:00+00:00,BTCUSDT,long,2026-02-15 15:30:00+00:00,2026-02-15 15:30:00+00:00,68858.7,after_p4_exit_5_16_bars,1.418314813924156,high_vol,-1.8844327495342512,-0.004854869464570255,-0.012040599081887815,0.0031266927781095077,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2025-09-15T08:45:00+00:00,BNBUSDT,long,2025-09-15 08:45:00+00:00,2025-09-15 08:45:00+00:00,916.24,after_p4_exit_0_4_bars,0.1364558746908541,high_vol,-3.5468138586662157,0.0029359119881253726,-0.0057190255828167835,0.0064939317209464775,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_short_2024-12-31T10:00:00+00:00,SOLUSDT,short,2024-12-31 10:00:00+00:00,2024-12-31 10:00:00+00:00,193.23,deep_idle,0.4931860032926122,mid_vol,1.8014523231996022,-0.013300212182373539,-0.01588999236058064,0.0017107309486779076,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_short_2025-05-13T10:30:00+00:00,SOLUSDT,short,2025-05-13 10:30:00+00:00,2025-05-13 10:30:00+00:00,173.79,deep_idle,0.8932629271901862,low_vol,1.9939295062730238,-0.00126589562115198,-0.011095937179924964,0.006836220381206015,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_short_2026-04-01T16:30:00+00:00,SOLUSDT,short,2026-04-01 16:30:00+00:00,2026-04-01 16:30:00+00:00,84.32,after_p4_exit_17_64_bars,0.5214283546012373,high_vol,1.6555295722048693,0.020279886148007464,-0.0262154983254419,0.021194138306891208,False,True,True
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2025-04-15T05:15:00+00:00,BNBUSDT,short,2025-04-15 05:15:00+00:00,2025-04-15 05:15:00+00:00,588.83,after_p4_exit_17_64_bars,0.9557534112736151,low_vol,2.2508521065607727,-0.001018969821510396,-0.002202904444783327,0.001752296699557787,False,True,True
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2025-02-03T02:00:00+00:00,BNBUSDT,long,2025-02-03 02:00:00+00:00,2025-02-03 02:00:00+00:00,550.42,deep_idle,1.8806731053924621,high_vol,-3.5207505448466945,0.023291304821772663,-0.0933468987318774,0.023581991933432578,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_long_2026-05-21T07:00:00+00:00,ETHUSDT,long,2026-05-21 07:00:00+00:00,2026-05-21 07:00:00+00:00,2127.61,deep_idle,1.1344681673419001,low_vol,-2.2884945036662456,-0.0066600551792856955,-0.009080611578249798,0.009353217929977786,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2024-12-18T04:00:00+00:00,SOLUSDT,long,2024-12-18 04:00:00+00:00,2024-12-18 04:00:00+00:00,217.42,after_p4_exit_17_64_bars,0.6464020828291533,high_vol,-1.7295948964410206,-0.007497010394627912,-0.018673535093367555,0.0035875264465090595,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_long_2026-01-29T18:30:00+00:00,ETHUSDT,long,2026-01-29 18:30:00+00:00,2026-01-29 18:30:00+00:00,2801.77,deep_idle,2.083452818671179,high_vol,-1.7272971751765405,0.004329406054030205,-0.017585312141967346,0.007934270122101461,False,True,False
