symbol,prototype,gate,leverage_mode,proxy_trade_count,strict_trade_count,proxy_total_return,strict_total_return,proxy_profit_factor,strict_profit_factor,proxy_max_drawdown,strict_max_drawdown,proxy_liquidation_count,strict_liquidation_count
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,219,219,2370.7809232188615,2370.7809232188615,2.1505417516802647,2.1505417516802647,-0.2955453016218776,-0.29554530162187764,0,0
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,117,158,80962.74832032846,8151812626.041156,1.0140192576925102,1.0299315799819329,-0.981104135219096,-0.977705211279309,1,0
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,117,158,72.63937236214232,2325.960187466215,1.969966834977604,2.5432657682350044,-0.2356160748795929,-0.24561005757825405,0,0
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,82,115,15433220.088851778,6156411121900.084,1.2003984236578735,1.263644802478358,-0.7403899714237345,-0.8643818665830857,0,0
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,82,115,69.25753088034027,2489.817666195026,2.802074830941739,3.2847689011056107,-0.1530609328827725,-0.17098955641118896,0,0
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,219,219,82617637.11967163,784704680.5969105,1.037793639313543,1.049602019772035,-0.9859364853991744,-0.9813665830024205,1,0
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,219,219,2370.7809232188615,2370.7809232188615,2.1505417516802647,2.1505417516802647,-0.2955453016218776,-0.29554530162187764,0,0
LINKUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,150,150,34874.75802283926,521657.4917793216,1.1378672235758094,1.137873622622906,-0.9856462584061724,-0.9678000789728329,1,0
LINKUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,150,150,72.94013848102362,72.94013848102362,2.068930944145967,2.068930944145967,-0.2154483612987193,-0.21544836129871936,0,0
LINKUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,83,96,58702.54988089691,770449.7840686248,2.08158866192914,1.6837410574618001,-0.9810245714316146,-0.9501458789520764,0,0
LINKUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,83,96,24.658985936291828,53.533110598228326,3.430050381520859,3.2139241938877166,-0.2634876790458945,-0.18545360305187564,0,0
LINKUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,150,150,901026.9191324712,901026.9191324711,1.4855273952212311,1.4855273952212313,-0.9615937072828508,-0.9615937072828509,0,0
LINKUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,150,150,72.94013848102362,72.94013848102362,2.068930944145967,2.068930944145967,-0.2154483612987193,-0.21544836129871936,0,0
LINKUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,217,217,560.2530134286988,8394.01181021152,1.117193895107475,1.1174909829398687,-0.9959859435073968,-0.9879087060306097,2,1
LINKUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,217,217,94.8870280075913,94.8870280075913,1.965476729049695,1.965476729049695,-0.2376571382254938,-0.23765713822549384,0,0
LINKUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,112,144,102726.50468782971,2592.878395292501,1.2584969689762016,1.3885688102193225,-0.8891654087966777,-0.9934735597828541,0,0
LINKUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,112,144,49.103528237735425,34.048902459994544,2.5939553286411936,2.424192999343386,-0.1944875097268689,-0.22445912163332749,0,0
LINKUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,59,86,3522.340256229475,147385.7641653587,1.264065072404755,1.6634839223376259,-0.8799403748225259,-0.9189985293555928,0,0
LINKUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,59,86,9.500625746811158,23.3953886461644,2.6266952089446094,2.9041593672272046,-0.1787389214208675,-0.2054564312179542,0,0
LINKUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,217,217,1682101.4493134613,1682101.4493134613,1.2405027512080469,1.2405027512080469,-0.8926608922335376,-0.8926608922335376,0,0
LINKUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,217,217,94.8870280075913,94.8870280075913,1.965476729049695,1.965476729049695,-0.2376571382254938,-0.23765713822549384,0,0
XRPUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,159,159,3610568880.916764,3610568880.916764,1.5280267425033214,1.5280267425033214,-0.9814642527835764,-0.9814642527835765,1,1
XRPUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,159,159,983.7992548482156,983.7992548482156,2.801925198209091,2.801925198209091,-0.224527791945868,-0.22452779194586803,0,0
XRPUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,86,103,12800812637.744392,215969124907.3212,2.1926708861998447,2.6080053711603384,-0.723127191184125,-0.95,0,1
XRPUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,86,103,334.41164978070157,909.0892098730869,4.227097625702459,4.237050758544743,-0.1284588048026185,-0.18811957419219405,0,0
XRPUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,159,159,126054369846.00418,126054369846.00418,1.9587737745337703,1.9587737745337703,-0.6947446467330778,-0.6947446467330778,0,0
XRPUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,159,159,983.7992548482156,983.7992548482156,2.801925198209091,2.801925198209091,-0.224527791945868,-0.22452779194586803,0,0
XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,189,189,360852.656322389,1877959.286111399,1.4489805623403471,1.485877965405788,-0.9974147259361696,-0.9962174275166682,2,1
XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,189,189,579.2706727619736,579.2706727619736,2.366549982922268,2.366549982922268,-0.2816650242216718,-0.28166502422167183,0,0
XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,96,120,3694297724.808523,3785212587961.042,6.874498263913314,7.738387947137973,-0.8525247014950871,-0.7835033730743751,0,0
XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,96,120,354.95672499189493,2252.163264615972,4.70803703393392,5.056526898215931,-0.1777076569855282,-0.14139695020263887,0,0
XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,80,110,534597.0218827024,149812809.26863384,1.882729860274078,1.4423968301659225,-0.9575291696261974,-0.95,1,2
XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,80,110,44.65171559288659,325.75071094365757,2.9240250358874897,2.642855107082753,-0.1902315171965761,-0.18811957419219405,0,0
XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,189,189,11240227837.806557,11240227837.806557,3.1188064136887923,3.1188064136887923,-0.8917905492477705,-0.8917905492477705,0,0
XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,189,189,579.2706727619736,579.2706727619736,2.366549982922268,2.366549982922268,-0.2816650242216718,-0.28166502422167183,0,0
