symbol,year,volatility_regime,trend_strength_bucket,event_count,mean_fwd_ret_16,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
ETHUSDT,2020,high_vol,0_0.5,32,0.002590065732447102,0.0037285731686362844,0.40625,0.34375,-0.009921552747124644,0.010900843781873934,0.12498471576255124,0.0011785789004321705
ETHUSDT,2020,high_vol,1.0_1.5,28,-0.007125902793073351,-0.009137287423116924,0.14285714285714285,0.8571428571428571,-0.023006209379923388,0.01051372787207264,0.3148112670943359,-0.012009367592286409
ETHUSDT,2020,high_vol,1.5_2.5,39,-0.006024609033316953,-0.003921457992439148,0.358974358974359,0.6410256410256411,-0.021831838999687797,0.00886312768759688,0.17983857526796654,-0.008501274210442611
ETHUSDT,2020,low_vol,0.5_1.0,6,0.006823152662916554,0.0076319882290791785,0.8333333333333334,0.16666666666666666,-0.005395822787403119,0.009789347556918996,0.26409028000914153,0.0030400782663705015
ETHUSDT,2020,low_vol,0_0.5,3,0.004510909437823951,0.003164168853786009,0.0,1.0,-0.01778915214265216,0.0102714372939073,0.6411471794344645,
ETHUSDT,2020,low_vol,1.0_1.5,4,0.012063011616511632,0.013664234748945958,0.25,0.75,-0.00449368247826612,0.01638304279727182,0.3734700753887297,0.0029028815368197236
ETHUSDT,2020,low_vol,1.5_2.5,6,-0.001846437061852187,-0.002225765556888415,0.6666666666666666,0.3333333333333333,-0.015297255473198768,0.011452070803366557,0.5729816892013967,-0.007789465530354571
ETHUSDT,2020,mid_vol,0.5_1.0,5,0.011928639409708675,0.01275347927947501,1.0,0.0,-0.0020687726476263267,0.01563817716663669,0.3807165512697484,0.0036008927428885507
ETHUSDT,2020,mid_vol,0_0.5,3,-0.00023084975860617382,-0.0006534879921581416,0.6666666666666666,0.3333333333333333,-0.006795577086284754,0.014550445621991962,1.0,
ETHUSDT,2020,mid_vol,1.0_1.5,16,0.011744541480070508,0.014515403931451343,0.5625,0.4375,-0.009351834853236998,0.019429522710813968,0.1688638943425595,0.008053815341903619
ETHUSDT,2020,mid_vol,1.5_2.5,22,0.009686764784029607,0.008678030549003235,0.5,0.45454545454545453,-0.011001382641984097,0.01707883815355499,0.12895920199048766,0.006388805591358553
ETHUSDT,2021,high_vol,0.5_1.0,23,-0.0060400232103149185,-0.009650629903794283,0.391304347826087,0.5652173913043478,-0.017303097324235173,0.008367691612553328,0.3970243259495643,-0.010109449152534722
ETHUSDT,2021,high_vol,0_0.5,36,-0.001448972292159197,-0.0017241520492615736,0.3333333333333333,0.6666666666666666,-0.016299182294438098,0.008052195712864993,0.18361364935251365,-0.002749254592274991
ETHUSDT,2021,high_vol,1.0_1.5,14,-0.0047873526175133884,-0.009254524227072403,0.5,0.5,-0.018562560575944537,0.011267732781706388,0.35526457232185465,-0.01013569645349807
ETHUSDT,2021,high_vol,1.5_2.5,41,0.004677714457401537,0.0032023261068161446,0.6097560975609756,0.3902439024390244,-0.014851628378664355,0.02316387211848126,0.11513676936139734,0.0015036154729494856
ETHUSDT,2021,low_vol,0.5_1.0,3,-0.0038662992295525798,0.0008452535760727908,0.3333333333333333,0.6666666666666666,-0.011888337147805647,0.011533661615009017,0.8992351388807276,
ETHUSDT,2021,low_vol,0_0.5,3,-0.007607170285578335,-0.0034856545061988653,0.6666666666666666,0.3333333333333333,-0.02586731372130265,0.010081460923718533,1.0,
ETHUSDT,2021,low_vol,1.0_1.5,13,-0.003246909006184953,0.0019803287345698806,0.38461538461538464,0.6153846153846154,-0.013349566864700364,0.01423081053603072,0.4392244689816358,-0.008068323698557523
ETHUSDT,2021,low_vol,1.5_2.5,20,-0.00515862818419891,-0.008285955495161312,0.3,0.7,-0.021108840565179015,0.011399726588428149,0.2844859157312535,-0.01069645677414198
ETHUSDT,2021,mid_vol,0.5_1.0,14,-0.000646204187967855,0.001731852365622455,0.21428571428571427,0.7142857142857143,-0.014275935739330734,0.01022698797129129,0.25879737544873377,-0.005504357355947473
ETHUSDT,2021,mid_vol,0_0.5,14,-0.006639410943017073,-0.007417487631953046,0.2857142857142857,0.7142857142857143,-0.016878040415993525,0.009752596340773079,0.6280000053951954,-0.012433442230849604
ETHUSDT,2021,mid_vol,1.0_1.5,11,0.01698318911385832,0.02645370383827239,0.6363636363636364,0.36363636363636365,-0.01406090326935164,0.030333598144164507,0.21413343677860536,0.0030328377690546915
