symbol,month,p4_trade_count,p4_proxy_return,p4_negative_month,p4_weak_month,proxy_method
SOLUSDT,2021-02,18,0.5243909146436834,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2021-03,14,0.42394826506634853,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2021-04,22,-0.35894189286643496,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2021-05,14,-0.3937017511885308,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2021-06,14,-0.01361228211728438,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2021-07,13,-0.13625123211127332,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2021-08,19,0.6739405047761536,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2021-09,10,0.17856786214378717,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2021-10,13,0.13546077522927935,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2021-11,13,0.07521459246390194,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2021-12,17,-0.1194536606569947,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2022-01,10,-0.1757946525424391,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2022-02,7,0.05217950241076419,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2022-03,15,0.12651516457778678,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2022-04,8,0.008811604198145084,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2022-05,6,-0.009665648906309054,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2022-06,7,0.18283982033474389,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2022-07,17,-0.009382026617855255,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2022-08,8,0.02452192453902602,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2022-09,16,-0.13353296384097457,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2022-10,8,0.040237794815294325,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2022-11,9,-0.04234292598764089,True,True,realistic_p4_trade_return_1x_exit_month
